"R","G","B","Gray",,"Average",,,
177,146,155,170,,"R","G","B","Gray"
177,147,158,172,,"180,5357142857","133,84375","139,5848214286","156,0178571429"
171,143,150,165,,,,,
170,144,148,164,,,,,
171,145,153,169,,,,,
174,136,143,158,,,,,
178,139,145,162,,,,,
174,138,144,160,,,,,
171,136,142,157,,,,,
176,139,148,163,,,,,
178,141,153,167,,,,,
176,140,150,163,,,,,
177,138,150,164,,,,,
175,132,142,155,,,,,
175,133,144,156,,,,,
172,147,157,171,,,,,
167,139,143,158,,,,,
171,143,153,168,,,,,
185,146,159,171,,,,,
177,145,150,168,,,,,
175,145,152,169,,,,,
170,147,158,175,,,,,
173,139,147,158,,,,,
183,145,155,171,,,,,
185,147,158,173,,,,,
178,143,149,164,,,,,
176,146,156,170,,,,,
182,142,148,161,,,,,
180,139,148,160,,,,,
186,146,153,166,,,,,
177,146,156,171,,,,,
177,142,152,166,,,,,
178,148,158,172,,,,,
172,134,137,152,,,,,
166,128,129,142,,,,,
168,130,131,147,,,,,
174,141,151,162,,,,,
190,155,168,183,,,,,
186,147,160,174,,,,,
189,145,159,172,,,,,
185,149,160,175,,,,,
190,148,161,175,,,,,
190,149,161,176,,,,,
176,139,141,156,,,,,
191,152,167,181,,,,,
191,148,160,174,,,,,
190,153,168,181,,,,,
185,151,162,178,,,,,
174,143,144,160,,,,,
176,139,142,156,,,,,
165,127,131,143,,,,,
163,127,124,140,,,,,
158,127,127,142,,,,,
185,145,150,164,,,,,
177,144,144,159,,,,,
167,134,135,151,,,,,
161,131,127,145,,,,,
188,146,155,170,,,,,
191,152,165,180,,,,,
185,151,162,176,,,,,
195,151,160,174,,,,,
180,144,152,165,,,,,
162,132,133,149,,,,,
163,129,126,144,,,,,
168,133,133,150,,,,,
191,158,166,181,,,,,
172,140,142,157,,,,,
167,133,129,147,,,,,
168,136,135,152,,,,,
168,137,137,154,,,,,
185,147,153,169,,,,,
171,137,137,154,,,,,
162,129,124,142,,,,,
179,147,145,162,,,,,
180,148,151,167,,,,,
186,151,163,176,,,,,
183,138,146,159,,,,,
195,156,165,182,,,,,
200,142,155,168,,,,,
166,126,128,142,,,,,
172,133,143,153,,,,,
168,134,139,154,,,,,
191,155,158,180,,,,,
157,121,118,136,,,,,
172,125,127,144,,,,,
178,124,132,149,,,,,
179,127,131,152,,,,,
193,133,145,163,,,,,
173,124,132,146,,,,,
176,126,132,149,,,,,
176,128,135,153,,,,,
191,133,142,161,,,,,
174,124,127,144,,,,,
183,128,132,152,,,,,
196,130,136,155,,,,,
195,129,136,152,,,,,
194,129,135,152,,,,,
182,123,123,144,,,,,
189,125,130,148,,,,,
206,140,141,162,,,,,
184,121,125,141,,,,,
183,123,125,143,,,,,
194,126,131,150,,,,,
190,126,130,148,,,,,
187,125,128,146,,,,,
185,124,128,145,,,,,
180,123,129,146,,,,,
189,129,136,154,,,,,
182,127,136,152,,,,,
155,113,111,128,,,,,
153,113,111,128,,,,,
148,114,112,129,,,,,
185,131,134,152,,,,,
162,121,116,134,,,,,
193,140,143,162,,,,,
194,141,147,167,,,,,
166,138,136,158,,,,,
193,139,143,163,,,,,
182,140,144,163,,,,,
158,126,121,139,,,,,
162,129,125,145,,,,,
200,141,147,166,,,,,
176,132,134,152,,,,,
169,128,130,148,,,,,
172,124,128,145,,,,,
180,131,138,156,,,,,
184,129,138,157,,,,,
157,117,117,133,,,,,
172,126,132,146,,,,,
182,131,138,155,,,,,
206,136,145,165,,,,,
180,129,134,152,,,,,
181,128,135,152,,,,,
191,134,142,163,,,,,
201,133,143,161,,,,,
183,130,137,155,,,,,
185,133,143,160,,,,,
181,129,138,156,,,,,
186,131,139,158,,,,,
183,128,137,154,,,,,
197,138,147,165,,,,,
191,134,142,163,,,,,
170,122,123,142,,,,,
173,125,126,143,,,,,
143,109,108,122,,,,,
153,113,111,129,,,,,
170,123,126,142,,,,,
168,127,132,149,,,,,
164,124,132,150,,,,,
163,117,115,133,,,,,
142,109,102,119,,,,,
149,113,107,126,,,,,
154,116,113,130,,,,,
160,122,124,142,,,,,
166,135,143,159,,,,,
178,132,141,154,,,,,
144,113,109,126,,,,,
163,116,118,134,,,,,
175,132,132,149,,,,,
187,134,143,161,,,,,
191,134,146,163,,,,,
170,123,131,146,,,,,
167,122,125,142,,,,,
185,129,134,150,,,,,
186,132,145,161,,,,,
194,136,145,164,,,,,
200,136,148,165,,,,,
178,131,136,153,,,,,
186,127,131,149,,,,,
190,129,133,150,,,,,
194,131,134,152,,,,,
199,127,133,152,,,,,
220,133,143,161,,,,,
220,135,145,162,,,,,
206,136,142,163,,,,,
213,140,144,165,,,,,
211,138,143,164,,,,,
219,142,147,169,,,,,
220,145,152,171,,,,,
227,147,154,174,,,,,
216,153,157,177,,,,,
223,146,154,172,,,,,
223,145,154,173,,,,,
225,145,154,172,,,,,
224,147,157,175,,,,,
223,144,153,171,,,,,
222,149,158,178,,,,,
226,153,160,180,,,,,
225,153,162,181,,,,,
228,154,162,182,,,,,
220,154,163,181,,,,,
168,134,132,150,,,,,
223,147,157,174,,,,,
226,146,156,174,,,,,
222,144,156,171,,,,,
215,143,152,169,,,,,
203,140,150,166,,,,,
180,130,139,153,,,,,
