"R","G","B","Gray",,"Median",,,
97,76,69,84,,"R","G","B","Gray"
84,72,65,80,,"145,1042424242","156,2836363636","152,0436363636","161,4242424242"
82,73,65,82,,,,,
80,72,67,81,,,,,
98,70,58,78,,,,,
95,91,78,100,,,,,
102,127,118,129,,,,,
108,136,131,142,,,,,
104,127,112,133,,,,,
104,135,126,140,,,,,
106,133,123,138,,,,,
102,133,125,141,,,,,
105,131,125,136,,,,,
105,101,92,110,,,,,
103,131,121,136,,,,,
117,140,133,145,,,,,
113,134,129,140,,,,,
114,137,134,143,,,,,
107,136,129,143,,,,,
116,139,134,144,,,,,
126,150,147,149,,,,,
129,149,148,164,,,,,
146,157,152,155,,,,,
154,151,149,156,,,,,
156,162,159,167,,,,,
134,168,155,163,,,,,
162,162,160,167,,,,,
149,146,141,151,,,,,
161,159,152,158,,,,,
152,147,143,152,,,,,
126,149,145,154,,,,,
121,130,108,125,,,,,
113,140,138,148,,,,,
130,146,144,146,,,,,
132,150,148,151,,,,,
128,177,170,182,,,,,
128,167,164,171,,,,,
124,173,172,174,,,,,
119,100,94,110,,,,,
120,99,91,108,,,,,
104,73,67,81,,,,,
100,71,63,82,,,,,
78,56,48,65,,,,,
104,77,68,84,,,,,
120,94,88,103,,,,,
129,136,126,140,,,,,
134,155,145,159,,,,,
173,187,181,191,,,,,
140,186,180,188,,,,,
177,191,187,195,,,,,
135,193,189,198,,,,,
139,215,209,219,,,,,
132,167,154,169,,,,,
133,164,159,164,,,,,
133,165,159,166,,,,,
121,105,96,112,,,,,
119,104,91,113,,,,,
110,91,84,100,,,,,
112,88,83,97,,,,,
116,99,90,106,,,,,
117,99,88,106,,,,,
133,149,145,153,,,,,
171,175,168,178,,,,,
177,210,202,211,,,,,
183,227,218,229,,,,,
191,237,229,242,,,,,
148,240,230,243,,,,,
173,238,230,242,,,,,
129,187,184,193,,,,,
129,143,134,143,,,,,
130,159,148,152,,,,,
129,137,128,135,,,,,
133,179,173,183,,,,,
129,157,151,160,,,,,
123,105,98,114,,,,,
118,102,89,108,,,,,
124,90,83,97,,,,,
110,85,81,95,,,,,
172,154,149,159,,,,,
168,177,163,174,,,,,
174,183,174,184,,,,,
170,183,177,187,,,,,
179,194,189,198,,,,,
183,204,198,205,,,,,
210,231,221,234,,,,,
177,227,219,231,,,,,
194,224,217,226,,,,,
177,222,212,225,,,,,
136,203,197,207,,,,,
132,182,174,186,,,,,
129,169,162,173,,,,,
123,156,135,150,,,,,
110,91,83,99,,,,,
95,76,74,85,,,,,
63,42,40,48,,,,,
68,47,39,51,,,,,
58,41,35,46,,,,,
60,48,37,48,,,,,
97,68,64,77,,,,,
85,63,56,70,,,,,
73,50,42,57,,,,,
